who,distance
182,95.32471146792754
353,90.72831168420372
296,135.26586999105817
309,113.54246583584732
495,99.46720136055609
203,125.54823726617754
254,108.46012784542081
263,108.30250031154341
70,133.98631466276132
125,108.195090384216
392,94.40150240432727
350,85.2877133945278
304,128.9223877923245
152,134.10478352192678
346,100.68849160434877
398,102.23940143892801
281,95.40152823723602
250,113.37293295898837
174,116.6493387414379
253,106.94027701578916
320,101.26140316967108
276,116.48380613152298
75,96.82441769450075
334,95.39081114339986
27,92.63688275789397
194,121.48863777281417
193,117.44961525101724
238,83.76335151687033
376,85.07651497502873
173,136.96152088761147
264,108.31774362903036
149,139.18462244406544
387,116.30073778587477
383,81.6845191716031
48,128.06577073366986
393,86.26035595032553
285,79.00603023884327
335,92.636932975638
291,87.99512395588378
191,119.35973231743537
154,120.76938625632968
62,86.07779429124477
329,88.79175569798386
287,87.00212621553774
140,113.59733185576552
147,133.76646432399582
26,92.56893706616616
384,91.75333341909449
336,87.28020310395844
25,92.49535748836873
121,83.98601007057856
288,80.82756986492132
360,84.34533544089344
237,82.62930446311621
397,100.73617895795175
289,82.43540046768014
61,84.44050161890482
379,83.39076859304032
190,118.65291872741528
235,78.03877112544578
236,79.75899506980531
196,127.24540611512371
113,96.86228336521022
51,101.76038247178143
209,100.78251612792306
292,89.00297670371965
67,119.45639709092627
251,112.2676162592043
225,154.08451746791647
204,126.37128583723813
132,106.88217103832565
122,81.30889486585843
341,116.33340975754507
201,123.90248019779065
162,128.59571095742464
128,106.25585615896526
388,116.25010187130988
257,109.93128208200164
192,118.24216304008914
269,96.84108853262451
227,142.51438062238205
100,153.2118244560035
94,100.78032952708669
293,90.00255477395675
325,96.1498047803672
359,89.71328201764943
278,118.81490737893195
232,76.30173626816863
23,97.96476088395522
68,100.7053164796566
431,104.95698830864974
72,120.0410742726468
290,85.50381430237525
507,106.25020945462201
286,86.5852040263355
273,100.8823803162397
395,105.95033060384667
267,95.33887085396762
