182,43,183
267,480,40
281,481,39
75,74,76
269,79,434
113,114,80
346,42,482
68,45,483
397,68,94
94,95,93
209,210,485
273,17,274
320,19,319
51,23,50
398,20,428
23,51,52
278,67,220
276,77,275
152,91,70
70,71,69
147,215,345
225,453,555
48,49,47
196,137,467
204,145,271
203,208,142
194,498,279
154,155,153
72,73,277
191,367,276
190,275,213
192,282,505
193,266,265
174,181,133
100,35,102
227,228,240
296,528,442
304,524,298
162,118,161
251,388,315
388,251,513
387,510,511
341,340,257
264,263,512
263,262,264
257,341,263
309,307,509
254,355,127
125,357,253
253,125,356
507,34,124
67,66,200
288,235,379
379,288,62
62,379,329
329,244,62
289,121,288
376,120,379
122,123,121
121,120,122
237,290,364
290,237,363
238,286,436
286,238,362
360,361,287
287,359,360
359,358,287
350,291,351
291,350,353
353,291,352
292,293,291
384,335,353
392,334,352
336,293,493
293,335,336
335,293,334
334,331,335
325,385,324
